Attempts
Date,Attempted
2015-05-01,36
2015-05-02,29
2015-05-04,26
2015-05-07,11
2015-05-08,17
2015-05-09,52
2015-05-10,4
2015-05-11,33
2015-05-12,12
2015-05-13,42
2015-05-14,27
2015-05-15,38
2015-05-16,25
2015-05-17,47
2015-05-18,40
2015-05-19,21
2015-05-20,18
2015-05-21,15
2015-05-22,56
2015-05-23,85
2015-05-24,57
2015-05-25,46
2015-05-26,19
2015-05-27,29
2015-05-28,30
2015-05-29,78
2015-05-30,155
2015-05-31,22

climbing routes
Date,Route,Attempted,Succeeded,Success Percentage
2015-05-22,Disappointment Cleaver,2,0,0.0
2015-05-22,Disappointment Cleaver,4,0,0.0
2015-05-22,Liberty RIngraham Directge,3,0,0.0
2015-05-22,Disappointment Cleaver,1,1,1.0
2015-05-22,Disappointment Cleaver,1,1,1.0
2015-05-22,Emmons-Winthrop,3,0,0.0
2015-05-22,Kautz Glacier,3,0,0.0
2015-05-22,Fuhrers Finger,4,0,0.0
2015-05-22,Disappointment Cleaver,2,0,0.0
2015-05-22,Emmons-Winthrop,3,0,0.0
2015-05-22,Disappointment Cleaver,12,0,0.0
2015-05-22,Disappointment Cleaver,12,10,0.833333333
2015-05-21,Kautz Cleaver,3,0,0.0
2015-05-21,Disappointment Cleaver,12,0,0.0
2015-05-20,Disappointment Cleaver,3,0,0.0
2015-05-20,Disappointment Cleaver,12,7,0.583333333
2015-05-20,Disappointment Cleaver,3,0,0.0
2015-05-19,Disappointment Cleaver,3,0,0.0
2015-05-19,Disappointment Cleaver,3,0,0.0
2015-05-19,Disappointment Cleaver,3,3,1.0
2015-05-19,Disappointment Cleaver,12,8,0.666666667
2015-05-18,Kautz Glacier,2,0,0.0
2015-05-18,Disappointment Cleaver,3,0,0.0
2015-05-18,Disappointment Cleaver,12,0,0.0
2015-05-18,Disappointment Cleaver,12,0,0.0
2015-05-18,Disappointment Cleaver,11,7,0.636363636
2015-05-17,Disappointment Cleaver,12,6,0.5
2015-05-17,Disappointment Cleaver,11,5,0.454545455
2015-05-17,Disappointment Cleaver,12,6,0.5
2015-05-17,Disappointment Cleaver,4,0,0.0
2015-05-17,glacier only - no summit attempt,1,0,0.0
2015-05-17,Disappointment Cleaver,7,5,0.7142857140000001
2015-05-16,Disappointment Cleaver,12,10,0.833333333
2015-05-16,Disappointment Cleaver,11,9,0.818181818
2015-05-16,Disappointment Cleaver,2,0,0.0
2015-05-15,Fuhrers Finger,2,0,0.0
2015-05-15,Disappointment Cleaver,12,10,0.833333333
2015-05-15,Disappointment Cleaver,12,11,0.916666667
2015-05-15,Disappointment Cleaver,12,7,0.583333333
2015-05-14,Disappointment Cleaver,2,0,0.0
2015-05-14,Disappointment Cleaver,12,0,0.0
2015-05-14,Disappointment Cleaver,12,0,0.0
2015-05-14,Little Tahoma,1,0,0.0
2015-05-13,Disappointment Cleaver,12,11,0.916666667
2015-05-13,Disappointment Cleaver,12,5,0.41666666700000005
2015-05-13,Disappointment Cleaver,12,6,0.5
2015-05-13,Ingraham Direct,2,0,0.0
2015-05-13,Emmons-Winthrop,4,0,0.0
2015-05-12,Disappointment Cleaver,12,0,0.0
2015-05-11,Disappointment Cleaver,12,0,0.0
2015-05-11,Disappointment Cleaver,10,0,0.0
2015-05-11,Disappointment Cleaver,11,0,0.0
2015-05-10,Disappointment Cleaver,2,0,0.0
2015-05-10,Fuhrers Finger,2,0,0.0
2015-05-09,Disappointment Cleaver,2,2,1.0
2015-05-09,Disappointment Cleaver,12,8,0.666666667
2015-05-09,Disappointment Cleaver,5,0,0.0
2015-05-09,Disappointment Cleaver,2,0,0.0
2015-05-09,Disappointment Cleaver,1,1,1.0
2015-05-09,Disappointment Cleaver,2,0,0.0
2015-05-09,Disappointment Cleaver,2,0,0.0
2015-05-09,Disappointment Cleaver,3,0,0.0
2015-05-09,Little Tahoma,2,0,0.0
2015-05-09,Disappointment Cleaver,4,4,1.0
2015-05-09,Little Tahoma,2,0,0.0
2015-05-09,Little Tahoma,1,0,0.0
2015-05-09,Little Tahoma,4,0,0.0
2015-05-09,Liberty RIngraham Directge,4,0,0.0
2015-05-09,Emmons-Winthrop,3,0,0.0
2015-05-09,Emmons-Winthrop,3,0,0.0
2015-05-08,Fuhrers Finger,2,0,0.0
2015-05-08,Fuhrers Finger,3,0,0.0
2015-05-08,Disappointment Cleaver,3,0,0.0
2015-05-08,Gibralter Ledges,2,0,0.0
2015-05-08,Little Tahoma,3,0,0.0
2015-05-08,Liberty RIngraham Directge,2,0,0.0
2015-05-08,Emmons-Winthrop,2,0,0.0
2015-05-07,Fuhrers Finger,2,0,0.0
2015-05-07,Fuhrers Finger,3,0,0.0
2015-05-07,Disappointment Cleaver,3,0,0.0
2015-05-07,Emmons-Winthrop,3,0,0.0
2015-05-04,Disappointment Cleaver,9,0,0.0
2015-05-04,Disappointment Cleaver,10,0,0.0
