Attempts
Date,Attempted
2015-07-01,111
2015-07-02,98
2015-07-03,186
2015-07-04,74
2015-07-05,82
2015-07-06,131
2015-07-07,61
2015-07-08,65
2015-07-09,120
2015-07-10,132
2015-07-11,108
2015-07-12,90
2015-07-13,96
2015-07-14,137
2015-07-15,66
2015-07-16,127
2015-07-17,152
2015-07-18,141
2015-07-19,72
2015-07-20,82
2015-07-21,85
2015-07-22,55
2015-07-23,68
2015-07-24,55
2015-07-25,84
2015-07-26,98
2015-07-27,52
2015-07-28,44
2015-07-29,23
2015-07-30,40
2015-07-31,123

climbing routes
Date,Route,Attempted,Succeeded,Success Percentage
2015-07-23,Emmons-Winthrop,2,0,0.0
2015-07-23,Disappointment Cleaver,2,2,1.0
2015-07-23,Kautz Glacier,2,0,0.0
2015-07-23,Emmons-Winthrop,5,0,0.0
2015-07-23,Disappointment Cleaver,2,0,0.0
2015-07-23,Kautz Glacier,4,0,0.0
2015-07-23,Emmons-Winthrop,2,0,0.0
2015-07-23,Disappointment Cleaver,11,0,0.0
2015-07-23,Disappointment Cleaver,2,0,0.0
2015-07-23,Disappointment Cleaver,3,3,1.0
2015-07-23,Disappointment Cleaver,2,2,1.0
2015-07-23,Disappointment Cleaver,4,4,1.0
2015-07-23,Disappointment Cleaver,6,0,0.0
2015-07-23,Emmons-Winthrop,2,0,0.0
2015-07-23,Emmons-Winthrop,2,0,0.0
2015-07-23,Emmons-Winthrop,11,0,0.0
2015-07-22,Disappointment Cleaver,12,7,0.583333333
2015-07-22,Disappointment Cleaver,12,12,1.0
2015-07-22,Disappointment Cleaver,12,8,0.666666667
2015-07-22,Disappointment Cleaver,4,0,0.0
2015-07-22,Disappointment Cleaver,5,5,1.0
2015-07-22,Disappointment Cleaver,2,0,0.0
2015-07-22,Kautz Glacier,2,2,1.0
2015-07-22,Disappointment Cleaver,6,0,0.0
2015-07-21,Disappointment Cleaver,2,0,0.0
2015-07-21,Disappointment Cleaver,2,1,0.5
2015-07-21,Disappointment Cleaver,4,4,1.0
2015-07-21,Kautz Glacier,2,2,1.0
2015-07-21,Emmons-Winthrop,12,8,0.666666667
2015-07-21,Emmons-Winthrop,4,0,0.0
2015-07-21,Disappointment Cleaver,3,0,0.0
2015-07-21,Disappointment Cleaver,12,10,0.833333333
2015-07-21,Emmons-Winthrop,12,8,0.666666667
2015-07-21,Disappointment Cleaver,12,5,0.41666666700000005
2015-07-21,Kautz Glacier,9,9,1.0
2015-07-21,Disappointment Cleaver,11,0,0.0
2015-07-20,Disappointment Cleaver,5,71,14.2
2015-07-20,Disappointment Cleaver,3,0,0.0
2015-07-20,Disappointment Cleaver,2,0,0.0
2015-07-20,Disappointment Cleaver,2,0,0.0
2015-07-20,Disappointment Cleaver,3,0,0.0
2015-07-20,Kautz Glacier,2,0,0.0
2015-07-20,Disappointment Cleaver,10,0,0.0
2015-07-20,Disappointment Cleaver,2,0,0.0
2015-07-20,Disappointment Cleaver,4,0,0.0
2015-07-20,Emmons-Winthrop,6,2,0.333333333
2015-07-20,Emmons-Winthrop,3,0,0.0
2015-07-20,Disappointment Cleaver,12,12,1.0
2015-07-20,Disappointment Cleaver,12,5,0.41666666700000005
2015-07-20,Disappointment Cleaver,12,11,0.916666667
2015-07-20,Liberty RIngraham Directge,2,0,0.0
2015-07-20,Liberty RIngraham Directge,2,0,0.0
2015-07-19,Emmons-Winthrop,3,0,0.0
2015-07-19,Emmons-Winthrop,9,0,0.0
2015-07-19,Kautz Cleaver,4,4,1.0
2015-07-19,Disappointment Cleaver,1,0,0.0
2015-07-19,Disappointment Cleaver,11,0,0.0
2015-07-19,Emmons-Winthrop,2,0,0.0
2015-07-19,Disappointment Cleaver,2,2,1.0
2015-07-19,Disappointment Cleaver,4,0,0.0
2015-07-19,Disappointment Cleaver,12,8,0.666666667
2015-07-19,Kautz Glacier,12,8,0.666666667
2015-07-19,Disappointment Cleaver,12,11,0.916666667
2015-07-18,Emmons-Winthrop,12,0,0.0
2015-07-18,Disappointment Cleaver,12,11,0.916666667
2015-07-18,Disappointment Cleaver,12,11,0.916666667
2015-07-18,Disappointment Cleaver,2,2,1.0
2015-07-18,Disappointment Cleaver,3,0,0.0
2015-07-18,Kautz Glacier,5,0,0.0
2015-07-18,Disappointment Cleaver,4,4,1.0
2015-07-18,Disappointment Cleaver,12,12,1.0
2015-07-18,Disappointment Cleaver,7,7,1.0
2015-07-18,Disappointment Cleaver,5,5,1.0
2015-07-18,Disappointment Cleaver,2,2,1.0
2015-07-18,Kautz Glacier,3,0,0.0
2015-07-18,Disappointment Cleaver,4,4,1.0
2015-07-18,Disappointment Cleaver,4,4,1.0
2015-07-18,Disappointment Cleaver,5,0,0.0
2015-07-18,Disappointment Cleaver,3,0,0.0
2015-07-18,Disappointment Cleaver,5,4,0.8
2015-07-18,Emmons-Winthrop,2,2,1.0
2015-07-18,Emmons-Winthrop,3,0,0.0
2015-07-18,Disappointment Cleaver,12,12,1.0
2015-07-18,Disappointment Cleaver,12,8,0.666666667
2015-07-18,Disappointment Cleaver,12,6,0.5
2015-07-17,Emmons-Winthrop,9,9,1.0
2015-07-17,Disappointment Cleaver,10,0,0.0
2015-07-17,Emmons-Winthrop,2,0,0.0
2015-07-17,Emmons-Winthrop,12,10,0.833333333
2015-07-17,Disappointment Cleaver,4,0,0.0
2015-07-17,Emmons-Winthrop,3,3,1.0
2015-07-17,Disappointment Cleaver,9,9,1.0
2015-07-17,Disappointment Cleaver,2,2,1.0
2015-07-17,Disappointment Cleaver,4,4,1.0
2015-07-17,Disappointment Cleaver,2,2,1.0
2015-07-17,Disappointment Cleaver,2,2,1.0
2015-07-17,Disappointment Cleaver,5,0,0.0
2015-07-17,Disappointment Cleaver,6,3,0.5
2015-07-17,Emmons-Winthrop,9,0,0.0
2015-07-17,Disappointment Cleaver,4,4,1.0
2015-07-17,Disappointment Cleaver,4,0,0.0
2015-07-17,Disappointment Cleaver,12,10,0.833333333
2015-07-17,Disappointment Cleaver,12,6,0.5
2015-07-17,Disappointment Cleaver,12,8,0.666666667
2015-07-17,Disappointment Cleaver,6,5,0.833333333
2015-07-17,Disappointment Cleaver,3,3,1.0
2015-07-17,Disappointment Cleaver,3,3,1.0
2015-07-17,Disappointment Cleaver,1,0,0.0
2015-07-17,Disappointment Cleaver,2,0,0.0
2015-07-17,Emmons-Winthrop,2,2,1.0
2015-07-17,Disappointment Cleaver,4,4,1.0
2015-07-17,Disappointment Cleaver,2,2,1.0
2015-07-17,Disappointment Cleaver,4,3,0.75
2015-07-17,Disappointment Cleaver,2,0,0.0
2015-07-16,Disappointment Cleaver,6,0,0.0
2015-07-16,Disappointment Cleaver,2,2,1.0
2015-07-16,Emmons-Winthrop,4,4,1.0
2015-07-16,Emmons-Winthrop,11,11,1.0
2015-07-16,Emmons-Winthrop,2,2,1.0
2015-07-16,Emmons-Winthrop,4,0,0.0
2015-07-16,Disappointment Cleaver,11,11,1.0
2015-07-16,Disappointment Cleaver,5,0,0.0
