Attempts
Date,Attempted
2015-06-01,34
2015-06-02,30
2015-06-03,31
2015-06-04,98
2015-06-05,126
2015-06-06,145
2015-06-07,91
2015-06-08,59
2015-06-09,72
2015-06-10,43
2015-06-11,74
2015-06-12,141
2015-06-13,130
2015-06-14,59
2015-06-15,87
2015-06-16,60
2015-06-17,75
2015-06-18,94
2015-06-19,145
2015-06-20,149
2015-06-21,87
2015-06-22,123
2015-06-23,119
2015-06-24,114
2015-06-25,139
2015-06-26,193
2015-06-27,193
2015-06-28,113
2015-06-29,121
2015-06-30,81

climbing routes
Date,Route,Attempted,Succeeded,Success Percentage
2015-06-26,Emmons-Winthrop,6,5,0.833333333
2015-06-26,Mowich Face,2,0,0.0
2015-06-26,Emmons-Winthrop,2,0,0.0
2015-06-26,Disappointment Cleaver,5,0,0.0
2015-06-26,Disappointment Cleaver,5,0,0.0
2015-06-26,Kautz Glacier,2,0,0.0
2015-06-26,Kautz Cleaver,3,0,0.0
2015-06-26,Emmons-Winthrop,2,0,0.0
2015-06-26,Disappointment Cleaver,12,7,0.583333333
2015-06-26,Disappointment Cleaver,12,0,0.0
2015-06-26,Disappointment Cleaver,12,12,1.0
2015-06-26,Disappointment Cleaver,12,12,1.0
2015-06-25,Emmons-Winthrop,10,9,0.9
2015-06-25,Emmons-Winthrop,8,0,0.0
2015-06-25,Disappointment Cleaver,3,3,1.0
2015-06-25,Disappointment Cleaver,8,8,1.0
2015-06-25,Disappointment Cleaver,7,6,0.857142857
2015-06-25,Disappointment Cleaver,3,0,0.0
2015-06-25,Disappointment Cleaver,3,0,0.0
2015-06-25,Emmons-Winthrop,3,3,1.0
2015-06-25,Emmons-Winthrop,2,0,0.0
2015-06-25,Disappointment Cleaver,4,4,1.0
2015-06-25,Little Tahoma,2,0,0.0
2015-06-25,Disappointment Cleaver,2,0,0.0
2015-06-25,Kautz Glacier,3,3,1.0
2015-06-25,Disappointment Cleaver,12,8,0.666666667
2015-06-25,Disappointment Cleaver,11,10,0.9090909090000001
2015-06-25,Disappointment Cleaver,2,0,0.0
2015-06-25,Disappointment Cleaver,5,3,0.6
2015-06-25,glacier only - no summit attempt,2,0,0.0
2015-06-25,Disappointment Cleaver,2,0,0.0
2015-06-25,Emmons-Winthrop,12,11,0.916666667
2015-06-25,Emmons-Winthrop,2,2,1.0
2015-06-25,Disappointment Cleaver,2,0,0.0
2015-06-25,Disappointment Cleaver,2,2,1.0
2015-06-25,Liberty RIngraham Directge,2,2,1.0
